Year,Month,Day,Max Temp,Min Temp,GDD
2002,03,26,3.0,-8.5,0
2002,03,27,2.4,-6.1,0
2002,03,28,5.9,-7.3,0
2002,03,29,0.6,-5.8,0
2002,03,30,-2.8,-11.1,0
2002,03,31,-1.5,-15.4,0
2002,04,01,-6.6,-13.5,0
2002,04,02,-10.1,-20.1,0
2002,04,03,-5.4,-22.3,0
2002,04,04,-2.0,-17.2,0
2002,04,05,0.3,-14.0,0
2002,04,06,-2.5,-7.8,0
2002,04,07,-3.9,-10.0,0
2002,04,08,1.1,-11.2,0
2002,04,09,2.8,-5.5,0
2002,04,10,5.4,-3.2,0
2002,04,11,17.9,-3.0,0
2002,04,12,17.6,-2.7,0
2002,04,13,18.8,0.9,0
2002,04,14,16.2,-0.9,0
2002,04,15,11.4,-4.1,0
2002,04,16,8.4,-5.3,0
2002,04,17,7.9,-4.3,0
2002,04,18,6.6,-9.6,0
2002,04,19,7.6,-9.3,0
2002,04,20,11.4,-6.2,0
2002,04,21,14.3,-1.1,0
2002,04,22,18.3,-0.5,0
2002,04,23,4.5,-3.2,0
2002,04,24,-1.6,-10.1,0
2002,04,25,4.2,-12.5,0
2002,04,26,9.6,-9.1,0
2002,04,27,13.0,-6.9,0
2002,04,28,13.2,-0.8,0
2002,04,29,10.3,-3.9,0
2002,04,30,5.1,-7.6,0
2002,05,01,5.1,-10.6,0
2002,05,02,16.0,-4.2,0
2002,05,03,6.5,-6.7,0
2002,05,04,5.8,-8.8,0
2002,05,05,7.8,-10.2,0
2002,05,06,9.3,-9.9,0
2002,05,07,10.2,-8.9,0
2002,05,08,12.2,-2.9,0
2002,05,09,15.2,-7.8,0
2002,05,10,16.7,-6.2,0
2002,05,11,19.4,-0.1,0
2002,05,12,18.5,1.6,0.05000000000000071
2002,05,13,24.0,2.3,3.1500000000000004
2002,05,14,27.5,8.3,7.899999999999999
2002,05,15,12.1,-0.9,0
2002,05,16,14.8,-3.8,0
2002,05,17,18.1,-1.4,0
2002,05,18,19.6,3.7,1.6500000000000004
2002,05,19,20.7,5.7,3.1999999999999993
2002,05,20,25.0,5.8,5.4
2002,05,21,26.9,6.4,6.649999999999999
2002,05,22,13.3,2.4,0
2002,05,23,14.8,-7.1,0
2002,05,24,13.2,3.4,0
2002,05,25,18.9,3.6,1.25
2002,05,26,24.2,-1.4,1.4000000000000004
2002,05,27,28.9,5.8,7.349999999999998
2002,05,28,28.5,9.7,9.100000000000001
2002,05,29,29.2,12.6,10.899999999999999
2002,05,30,25.8,7.9,6.850000000000001
2002,05,31,25.0,6.5,5.75
2002,06,01,25.2,2.0,3.5999999999999996
2002,06,02,22.3,8.1,5.199999999999999
2002,06,03,18.8,8.4,3.6000000000000014
2002,06,04,23.4,5.3,4.35
2002,06,05,29.8,9.9,9.850000000000001
2002,06,06,19.9,9.3,4.6
2002,06,07,21.8,1.3,1.5500000000000007
2002,06,08,16.8,5.5,1.1500000000000004
2002,06,09,17.9,8.5,3.1999999999999993
2002,06,10,17.0,7.7,2.3499999999999996
